cell_label,subclass,supertype,class,neurotransmitter,parcellation_structure,parcellation_substructure
1018093344100490466-3,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344100640056-5,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344100490317-5,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344100490489-3,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344100490507-5,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344100490360-5,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344102900653,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344100490330-5,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344102900686,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344100490345-4,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344202900607,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344100480472-4,028 L6b/CT ENT Glut,0107 L6b/CT ENT Glut_2,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344102900587-2,028 L6b/CT ENT Glut,0107 L6b/CT ENT Glut_2,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093344100490537-6,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1018093344100490476-5,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1018093344100640085-4,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1018093344100640078-4,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
